Статьи,PL группа 1,Статьи затрат PL в 1 C,%,Факт,%_сравнеие,Период,Monthnumber
Чистая выручка,Валовая выручка,Выручка от продаж,100%,206316468.1099999,-19977%,2023,1
Чистая выручка,Валовая выручка,Выручка от продаж,101%,620970027.5600001,-6571%,2023,2
Чистая выручка,Валовая выручка,Выручка от продаж,100%,3639073999.2800016,-1038%,2023,3
Чистая выручка,Валовая выручка,Выручка от продаж,100%,13886064348.180021,-198%,2023,4
Чистая выручка,Валовая выручка,Выручка от продаж,101%,14788787308.00994,-180%,2023,5
Чистая выручка,Валовая выручка,Выручка от продаж,101%,11291895524.640009,-267%,2023,6
Чистая выручка,Валовая выручка,Выручка от продаж,102%,3470411877.269998,-1094%,2023,7
Чистая выручка,Валовая выручка,Выручка от продаж,104%,279142024.2600002,-14739%,2023,8
Чистая выручка,Валовая выручка,Выручка от продаж,103%,33429408.370000005,-71032%,2022,1
Чистая выручка,Валовая выручка,Выручка от продаж,100%,142454716.45,-16592%,2022,2
Чистая выручка,Валовая выручка,Выручка от продаж,100%,1451513139.4100008,-1538%,2022,3
Чистая выручка,Валовая выручка,Выручка от продаж,101%,10476418895.63996,-127%,2022,4
Чистая выручка,Валовая выручка,Выручка от продаж,102%,13884333152.83997,-71%,2022,5
Чистая выручка,Валовая выручка,Выручка от продаж,102%,7952968013.06,-199%,2022,6
Чистая выручка,Валовая выручка,Выручка от продаж,103%,3610564054.110004,-559%,2022,7
Чистая выручка,Валовая выручка,Выручка от продаж,101%,1201688529.9299998,-1879%,2022,8
Чистая выручка,Валовая выручка,Выручка от продаж,103%,736201584.5599998,-3130%,2022,9
Чистая выручка,Валовая выручка,Выручка от продаж,125%,314894624.9100002,-7451%,2022,10
Чистая выручка,Валовая выручка,Выручка от продаж,112%,669504854.5899999,-3452%,2022,11
Чистая выручка,Валовая выручка,Выручка от продаж,101%,947866821.7900006,-2409%,2022,12
Чистая выручка,Валовая выручка,Выручка от продаж,105%,60642912.57,-26357%,2021,1
Чистая выручка,Валовая выручка,Выручка от продаж,101%,142186285.13999993,-11184%,2021,2
Чистая выручка,Валовая выручка,Выручка от продаж,101%,1227603693.1400008,-1207%,2021,3
Чистая выручка,Валовая выручка,Выручка от продаж,100%,6685304274.860007,-140%,2021,4
Чистая выручка,Валовая выручка,Выручка от продаж,101%,8349014319.759994,-92%,2021,5
Чистая выручка,Валовая выручка,Выручка от продаж,104%,4218559589.3399997,-280%,2021,6
Чистая выручка,Валовая выручка,Выручка от продаж,102%,1168060427.7499995,-1274%,2021,7
Чистая выручка,Валовая выручка,Выручка от продаж,103%,1647599738.7899995,-874%,2021,8
Чистая выручка,Валовая выручка,Выручка от продаж,122%,313650006.12000006,-5015%,2021,9
Чистая выручка,Валовая выручка,Выручка от продаж,101%,176365551.92999995,-8997%,2021,10
Чистая выручка,Валовая выручка,Выручка от продаж,116%,236183549.81999996,-6693%,2021,11
