Статьи,PL группа 1,Статьи затрат PL в 1 C,%,Факт,%_сравнеие,Период,Monthnumber
Чистая выручка,Валовая выручка,Выручка от продаж,100%,206316468.1099999,-19977%,2023,1
Чистая выручка,Валовая выручка,Выручка от продаж,101%,620970027.5600001,-6571%,2023,2
Чистая выручка,Валовая выручка,Выручка от продаж,100%,3242165427.85,-1178%,2023,3
Чистая выручка,Валовая выручка,Выручка от продаж,100%,13886064348.180023,-198%,2023,4
Чистая выручка,Валовая выручка,Выручка от продаж,101%,14788787308.009937,-180%,2023,5
Чистая выручка,Валовая выручка,Выручка от продаж,101%,11291895524.640005,-267%,2023,6
Чистая выручка,Валовая выручка,Выручка от продаж,102%,3470411877.269998,-1094%,2023,7
Чистая выручка,Валовая выручка,Выручка от продаж,104%,248667327.83000004,-16558%,2023,8
Чистая выручка,Валовая выручка,Доход при возврате реализованных товаров,-0%,-775000,-89182%,2023,1
Чистая выручка,Валовая выручка,Доход при возврате реализованных товаров,-1%,-7237678.56,-9460%,2023,2
Чистая выручка,Валовая выручка,Доход при возврате реализованных товаров,-0%,-4664285.720000001,-14735%,2023,3
Чистая выручка,Валовая выручка,Доход при возврате реализованных товаров,-0%,-40199892.86,-1621%,2023,4
Чистая выручка,Валовая выручка,Доход при возврате реализованных товаров,-1%,-165534269.68000007,-318%,2023,5
Чистая выручка,Валовая выручка,Доход при возврате реализованных товаров,-1%,-107092312.50999999,-546%,2023,6
Чистая выручка,Валовая выручка,Доход при возврате реализованных товаров,-2%,-75331426.78000002,-819%,2023,7
Чистая выручка,Валовая выручка,Доход при возврате реализованных товаров,-4%,-9526883.92,-7163%,2023,8
Себестоимость реализованной продукции,Себестоимость реализованной продукции,Себестоимость реализованной продукции и оказанных услуг,,155207713.31000006,-23370%,2023,1
Себестоимость реализованной продукции,Себестоимость реализованной продукции,Себестоимость реализованной продукции и оказанных услуг,,559304985.8900001,-6413%,2023,2
Себестоимость реализованной продукции,Себестоимость реализованной продукции,Себестоимость реализованной продукции и оказанных услуг,,2920254584.2799993,-1147%,2023,3
Себестоимость реализованной продукции,Себестоимость реализованной продукции,Себестоимость реализованной продукции и оказанных услуг,,12310374338.050001,-196%,2023,4
Себестоимость реализованной продукции,Себестоимость реализованной продукции,Себестоимость реализованной продукции и оказанных услуг,,13011292660.390007,-180%,2023,5
Себестоимость реализованной продукции,Себестоимость реализованной продукции,Себестоимость реализованной продукции и оказанных услуг,,9620176609.089964,-279%,2023,6
Себестоимость реализованной продукции,Себестоимость реализованной продукции,Себестоимость реализованной продукции и оказанных услуг,,2941985838.4600005,-1138%,2023,7
Себестоимость реализованной продукции,Себестоимость реализованной продукции,Себестоимость реализованной продукции и оказанных услуг,,218707455.29999998,-16556%,2023,8
Доп. транспортные расходы,Доп. транспортные расходы,Брокерские услуги,,-1.4551915228366852e-11,-950%,2023,1
Доп. транспортные расходы,Доп. транспортные расходы,Брокерские услуги,,8.731149137020111e-11,275%,2023,2
