Статьи затрат для PL,Статьи затрат PL в 1 C,guid,kod,PL группа 1
Абон.плата,"Хостинг, подписка",0xA23F00155D01C80911E9EE6DD19D3501,00-000067,Прочие Административные расходы
Агенские расходы,Агентские расходы,0xA23F00155D01C80911E9EBD84C930A67,00-000062,Агенские расходы
Агенские расходы,Агентские услуги,0x80D100155D01C90111E7B94591A60AC3,00-000041,Агенские расходы
Амортизация,Амортизация 1 группы,0xA22B7085C2A4312A11EA757612C7FB6B,00-000136,Амортизация
Амортизация,Амортизация 2 группы,0xA22B7085C2A4312A11EA757612C7FB6A,00-000135,Амортизация
Амортизация,Амортизация 3 группы,0x801E00155D01C90111E6E6C6167D1E72,00-000008,Амортизация
Амортизация,Амортизация 4 группы,0xA22B7085C2A4312A11EA6F3ED37B716D,00-000134,Амортизация
Амортизация,Амортизация ОФПСХ,0xA22B7085C2A4312A11EA90FB3D0DBF7E,00-000140,Амортизация
Аренда Авто,Аренда транспорта,0x80C500155D01C90111E771EF3709C2EE,00-000035,Прочие Операционные расходы
Аренда ОС,Аренда ОС,0x8104000C29EF79CA11E8BFF6245C1936,00-000003,Расходы по торговле
Аренда офиса,Аренда помещений (офисы),0x80C500155D01C90111E7660426CE73D5,00-000033,Прочие Административные расходы
Аренда офиса,Арендная плата,0x80DD00155D01C90111E8122BFD3544CB,00-000047,Аренда офиса
Аренда офиса,Коммунальные платежи (офисы),0xA23F00155D01C80911E9EE70B37F91D5,00-000072,Аренда офиса
Аренда склада,Аренда помещений (склады),0xA23F00155D01C80911E9F0D8A30311AE,00-000081,Прочие Операционные расходы
Аренда склада,Аренда склада,0x83C700155D01C90111E70963597D7416,00-000026,Прочие Операционные расходы
Аренда склада,Услуги СВХ,0xA23F00155D01C80911E9F15A2312D094,00-000090,Расходы по Логистике
Аренда склада,Услуги СВХ на себестоимость,0xA2307085C2A4312A11EADB8940929075,00-000144,Прочие Операционные расходы
Аудиторские услуги,Аудиторские и консультанционные услуги,0xA23F00155D01C80911E9EE6FB7B9A32D,00-000070,Общие и административные расходы
Банковская комиссия,"Расходы на оформление займов (оценка имущества, регистрация договоров залога и т.д.)",0xA22B7085C2A4312A11EA848749FEE404,00-000139,Прочие Административные расходы
Банковская комиссия,Услуги банка,0xA23F00155D01C80911E9F0CE0A730115,00-000075,Прочие Административные расходы
Бонусы от продаж,Заработная плата (бонусы),0xAF8ED4F5EF10792511EC9C5F9B67A84E,00-000162,ФОТ ТП
Брак,Брак,0x80D0000C2910767B11E5A952DE4EB8D2,УТ-000003,Прочие Административные расходы
