REGION,IS_AlemAgro?,APPLICANT_NAME,Сумма Субсудии,YEAR
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""Журавлевка-1""",1005858986.87,2020
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Асыл логистикс""",954306495,2022
Костанайская область,Other,"""ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"ОЛЖА РЯЖСКОЕ""""""",937219096.6,2020
Северо-Казахстанская область,Other,"""ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"АСЫЛ ЛОГИСТИКС""""""",838284574.3399999,2020
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Агрофирма Жамбылская""",753756961.14,2022
Костанайская область,Other,"Товарищество с ограниченной ответственностью ""Олжа Ряжское""",730942522,2022
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""Журавлевка-1""",715331470,2022
Костанайская область,Other,"Товарищество с ограниченной ответственностью ""Олжа Ряжское""",704571817.56,2021
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""Журавлевка-1""",646140269.96,2021
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Писаревское-Агро""",556273319,2022
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Шатило и К""",539455978.47,2020
Костанайская область,Other,"Товарищество с ограниченной ответственностью ""Олжа Алтын-Инвест""",532310977.47999996,2021
Северо-Казахстанская область,Other,"""ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"АТАМЕКЕН-АГРО-ЦЕЛИННЫЙ""""""",532199956.45,2020
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Атамекен-Агро""",497208148.10999995,2021
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""АБИ-ЖЕР""",483387966,2022
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Атамекен-Агро""",452593142,2022
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Атамекен-Агро-Тимирязево""",449943276.27,2020
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Атамекен-Агро-Целинный""",419602524,2022
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Агрофирма ""Мамлютская""",410951850.29,2022
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Атамекен-Агро-Есиль""",390846410.3600001,2020
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""КДК АГРО""",389471162,2022
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Шал акын АГРО-2020""",354291074,2022
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Агрофирма Есильская""",352414233,2022
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Атамекен-Агро""",348846623.32,2020
Северо-Казахстанская область,Other,"""ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"АБИ-ЖЕР""""""",347576692.33,2020
Северо-Казахстанская область,Other,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АГРОФИРМА ЖАМБЫЛСКАЯ""",342126566.09000003,2020
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Шатило и К""",336672247,2022
Акмолинская область,Other,"товарищество с ограниченной ответственностью ""Маншук-АЭ""",335954728.03,2021
Северо-Казахстанская область,Other,"""ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"АГРОФИРМА """"МАМЛЮТСКАЯ""""""",335733505.71000004,2020
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Атамекен-Агро-Тимирязево""",329912264,2022
